dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
bank,tree,7,3,covariate_shift,r2_realistic,learned_router_no_shift,3,0.19999999999999996,1.5403294387355033,0.8254755532872,0.23809523809523808
bank,tree,7,3,covariate_shift,r2_realistic,nn_positive_train,3,0.0,1.7222511963513139,197.08379871559413,
bank,tree,7,3,covariate_shift,r2_realistic,projection_only,3,0.45714285714285713,0.7914520828933375,655.4053391741776,0.6571428571428573
bank,tree,7,3,covariate_shift,r2_realistic,rule_router,3,0.45714285714285713,0.7914520828933375,655.4053391741776,0.6571428571428573
bank,tree,7,3,covariate_shift,r2_realistic,safe_router,3,0.3142857142857143,0.6538550364841562,199.5174379455315,0.3714285714285715
bank,tree,7,3,covariate_shift,r2_realistic,utility_router,3,0.19999999999999996,1.1371109523529208,0.10511892365515996,0.17142857142857143
bank,tree,7,3,covariate_shift,r2_realistic,utility_router_guarded,3,0.19999999999999996,1.1371109523529208,0.10511892365515996,0.17142857142857143
bank,tree,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,3,0.19999999999999996,1.6989424149528638,2.895138290512369,0.2857142857142857
bank,tree,7,3,covariate_shift,r2_realistic,utility_router_no_shift,3,0.19999999999999996,1.1371109523529208,0.10511892365515996,0.17142857142857143
bank,tree,7,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,3,0.0,1.6535223350525685,374.6637698964759,0.275
bank,tree,7,3,exemplar_mismatch,r2_realistic,exact_tree_milp,3,0.0,0.8218054182488277,374.1097361120064,0.2
bank,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend,3,0.375,0.7285363750962333,1.987508195651401,0.2
bank,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,3,0.375,0.7285363750962333,1.987508195651401,0.2
bank,tree,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,3,0.0,1.0507547309117502,374.2865477628206,
bank,tree,7,3,exemplar_mismatch,r2_realistic,learned_alpha,3,0.20000000000000007,0.9170403779748377,399.01584352085916,0.4
bank,tree,7,3,exemplar_mismatch,r2_realistic,learned_router,3,0.375,0.5066331956218573,1.550377100198038,0.42500000000000004
bank,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,3,0.5,3.6254179465142577,123.98784166424639,0.175
bank,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,3,0.375,0.5066331956218573,1.550377100198038,0.42500000000000004
bank,tree,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,3,0.0,0.5459468983254245,373.2183217417702,
bank,tree,7,3,exemplar_mismatch,r2_realistic,projection_only,3,0.475,1.0443610776773031,100.96679480760457,0.22499999999999998
bank,tree,7,3,exemplar_mismatch,r2_realistic,rule_router,3,0.475,1.0443610776773031,100.96679480760457,0.22499999999999998
bank,tree,7,3,exemplar_mismatch,r2_realistic,safe_router,3,0.35,0.4855160594493877,373.1108073487933,0.30000000000000004
