dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,7,3,covariate_shift,r2_realistic,learned_router_no_shift,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,nn_positive_train,1.0,0.0,5.633929436130644,2.2139292640847366,7.444444444444445,1.7346455829776393,6.2663484957995115,4.835427467104688,,8.916702224976486e-07,0.0,0.0
adult,7,3,covariate_shift,r2_realistic,projection_only,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,rule_router,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,safe_router,0.9444444444444444,0.05555555555555555,0.9162198119751639,0.7673147731055131,1.2647058823529411,2.167802475586245,1.39552559967819,-0.035395429016634,0.7777777777777778,0.0006104083440732172,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,utility_router,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,utility_router_guarded,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,covariate_shift,r2_realistic,utility_router_no_shift,1.0,0.0,1.0319853779765438,0.8209112194645889,1.3611111111111112,2.205867301084831,1.430921028694824,0.0,0.7777777777777778,6.158341420814395e-06,1.0,1.0
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend,0.7435897435897436,0.0,6.441131856451883,2.22352171232906,9.282051282051283,1.5757154666110385,263.5518481508025,5.178800431136685,0.05128205128205128,0.00010347179769990593,0.25,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,0.7435897435897436,0.0,6.441131856451883,2.22352171232906,9.282051282051283,1.5757154666110385,263.5518481508025,5.178800431136685,0.05128205128205128,1.3433340101096875e-05,0.25,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,1.0,0.0,9.073036437210657,2.6965506560367003,16.128205128205128,1.333998568472737,10.079546478891823,-248.293501240774,,1.012810314886081e-06,0.0,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_alpha,0.6923076923076923,0.0,1.5485118756665102,0.651682941773248,9.282051282051283,1.9039239972584436,309.99051073166555,51.61746301199971,0.6153846153846154,0.00017441537840143332,0.8726169455975176,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router,0.7435897435897436,0.0,5.021180180421295,1.7762116987943353,7.17948717948718,1.6577066007597614,262.03906693976603,3.666019220100202,0.3333333333333333,6.687435178229325e-05,0.46153846153846156,0.28205128205128205
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,0.717948717948718,0.0,5.360490358015272,1.8750444449458952,7.717948717948718,1.6130234621857125,288.0396233645226,29.666575644856785,0.2564102564102564,7.245128448956832e-05,0.4230769230769231,0.23076923076923078
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,0.7435897435897436,0.0,4.8898089474261335,1.731953408711413,7.0,1.6566767478988487,261.89856686986735,3.525519150201543,0.358974358974359,6.322819703760055e-05,0.4807692307692308,0.3076923076923077
adult,7,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,1.0,0.0,8.426502429007693,2.923643099388537,8.974358974358974,1.4594962823007016,9.094144820070746,-249.27890289959507,,9.56411568973309e-07,0.0,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,projection_only,0.05128205128205128,0.0,0.4850201387844595,0.4850201387844595,1.0,1.987282948374902,949.5510612989895,691.1780135793235,0.3076923076923077,6.479482787350814e-06,1.0,1.0
adult,7,3,exemplar_mismatch,r1_all_mutable,rule_router,0.05128205128205128,0.0,0.4850201387844595,0.4850201387844595,1.0,1.987282948374902,949.5510612989895,691.1780135793235,0.3076923076923077,6.479482787350814e-06,1.0,1.0
adult,7,3,exemplar_mismatch,r1_all_mutable,safe_router,0.7435897435897436,0.02564102564102564,5.005330235516294,1.7643732352564503,7.157894736842105,1.6619507130413924,261.9129958435095,3.5399481238437156,0.3333333333333333,0.0003650564049633266,0.46153846153846156,0.28205128205128205
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router,0.7435897435897436,0.0,6.159205378108839,2.1327729828717064,8.871794871794872,1.5939368520005626,263.2521420597551,4.8790943400892495,0.10256410256410256,9.922563540150776e-05,0.28846153846153844,0.05128205128205128
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_guarded,0.7435897435897436,0.0,6.159205378108839,2.1327729828717064,8.871794871794872,1.5939368520005626,263.2521420597551,4.8790943400892495,0.10256410256410256,9.922563540150776e-05,0.28846153846153844,0.05128205128205128
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,0.7435897435897436,0.0,6.323618508273943,2.183007867685918,9.128205128205128,1.5867978317800124,263.4283048497076,5.055257130041783,0.07692307692307693,0.00010012564523956007,0.2692307692307692,0.02564102564102564
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,0.7435897435897436,0.0,6.159205378108839,2.1327729828717064,8.871794871794872,1.5939368520005626,263.2521420597551,4.8790943400892495,0.10256410256410256,9.922563540150776e-05,0.28846153846153844,0.05128205128205128
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.064080083981538e-06,1.0,1.0
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,3.7948827808484052e-06,1.0,1.0
adult,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,1.0,0.0,6.018898491963278,2.4080200203952185,7.3076923076923075,1.9274687045933092,6.6734034130368896,4.590742019899517,,1.0461498720523639e-06,0.0,0.0
