dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,13,3,covariate_shift,r1_all_mutable,fixed_blend,2,0.0,0.6102764563099878,0.47649039307140084,0.06060606060606061
adult,13,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.06060606060606055,0.5302518724618484,60.22006990661082,0.06060606060606061
adult,13,3,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,1.3179477287470682,1.2995787807907977,
adult,13,3,covariate_shift,r1_all_mutable,learned_alpha,2,0.0,0.06622381205660965,0.077797718307114,0.1515151515151515
adult,13,3,covariate_shift,r1_all_mutable,learned_router,2,0.0,0.6927657785665593,0.5672844826017487,0.06060606060606061
adult,13,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.0,0.7675153499112755,0.6499185798172711,0.09090909090909091
adult,13,3,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.0,0.6641022070890212,0.5335902091056908,0.030303030303030304
adult,13,3,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,0.7168219119896717,0.5827553324177464,
adult,13,3,covariate_shift,r1_all_mutable,projection_only,2,0.21212121212121213,0.02945824612162229,211.89545105913544,0.15151515151515152
adult,13,3,covariate_shift,r1_all_mutable,rule_router,2,0.21212121212121213,0.02945824612162229,211.89545105913544,0.15151515151515152
adult,13,3,covariate_shift,r1_all_mutable,safe_router,2,0.12121212121212122,0.0,0.03728069156384184,0.09090909090909091
adult,13,3,covariate_shift,r1_all_mutable,utility_router,2,0.0,0.6102764563099878,0.47649039307140084,0.0
adult,13,3,covariate_shift,r1_all_mutable,utility_router_guarded,2,0.0,0.6102764563099878,0.47649039307140084,0.0
adult,13,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.0,0.6102764563099878,0.47649039307140084,0.0
adult,13,3,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.0,0.6102764563099878,0.47649039307140084,0.030303030303030304
adult,13,3,covariate_shift,r2_realistic,fixed_blend,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,0.5204477587260969,0.9180546116030692,
adult,13,3,covariate_shift,r2_realistic,learned_alpha,2,0.030303030303030276,0.21181580917046317,30.18398842449129,0.40334378265412746
adult,13,3,covariate_shift,r2_realistic,learned_router,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,nn_positive_train,2,0.1515151515151515,0.6711085583335095,150.45610898396728,
adult,13,3,covariate_shift,r2_realistic,projection_only,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,rule_router,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,safe_router,2,0.12121212121212122,0.0,0.2647422330729307,0.0
adult,13,3,covariate_shift,r2_realistic,utility_router,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
adult,13,3,covariate_shift,r2_realistic,utility_router_guarded,2,0.030303030303030276,0.18181818181818166,30.152394329609407,0.030303030303030276
