query_id,dataset,guarded_utility,cascade_utility,delta_utility,outcome
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=25,bank,5.681226567456626,5.681226567456626,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=26,bank,2.647939386138075,2.647939386138075,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=28,bank,3.598128057982274,3.598128057982274,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=29,bank,5.167350301452237,5.167350301452237,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=31,bank,2.416754226328509,2.416754226328509,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=33,bank,7.445107770361917,7.445107770361917,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=35,bank,2.5933649397065013,2.5933649397065013,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=0,bank,1008.6821354567568,0.8670498879895217,-1007.8150855687672,better
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=2,bank,8.705228925011783,8.705228925011783,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=4,bank,2.4544955157657715,2.4544955157657715,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=6,bank,6.3812032828920655,6.3812032828920655,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=8,bank,6.283791898735229,6.283791898735229,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=9,bank,5.645186403265432,5.645186403265432,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=13,bank,7.424911975545251,7.424911975545251,0.0,tie
