dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
german,13,3,in_domain,r1_all_mutable,dice_random,1.0,3.93592882548115,2.2855617782810547,3.4,3.7215846245874262,4.664166519169265,0.0696205200161785
german,13,3,in_domain,r2_realistic,dice_random,1.0,4.064309851005092,2.283183828016457,3.55,3.72914137787053,4.801181057685672,0.07325769499875605
german,13,3,subgroup_shift,r1_all_mutable,dice_random,1.0,4.245158624097155,2.3813962009532665,3.625,3.756385485521484,4.989866446925378,0.06409310002345592
german,13,3,subgroup_shift,r2_realistic,dice_random,1.0,3.9537682955100517,2.0764625010315214,3.75,3.690244626227666,4.694804989444202,0.07379217498237267
german,19,3,covariate_shift,r1_all_mutable,dice_random,1.0,3.414621550184426,2.188502622807829,2.75,3.5147638093102316,4.079336121580961,0.0795525999914389
german,19,3,covariate_shift,r2_realistic,dice_random,1.0,4.509123837404957,2.8480175062782096,3.1,3.5321343985654456,5.193943997189774,0.0752354449708946
german,19,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,3.1266604032102814,1.820568423179108,2.95,3.4865483409004776,3.797142654345353,0.06919307999196463
german,19,3,exemplar_mismatch,r2_realistic,dice_random,1.0,3.058021690895201,1.9416470796252867,2.65,3.540007733989584,3.721522850993639,0.06915422001620755
german,19,3,in_domain,r1_all_mutable,dice_random,1.0,2.9046116612008666,1.701146264312726,2.9,3.3652515001669534,3.554399386225909,0.06783572999411262
german,19,3,in_domain,r2_realistic,dice_random,1.0,3.010213147117284,1.9434904769299848,2.65,3.4378450721961125,3.6583899079467,0.07250956999487243
german,19,3,subgroup_shift,r1_all_mutable,dice_random,1.0,4.900100376114385,3.2693621100366386,3.0,3.6921699896598614,5.603925874563364,0.0668652500025928
german,19,3,subgroup_shift,r2_realistic,dice_random,1.0,3.019156961021963,1.9002615534353509,2.75,3.545753174903635,3.688519937257509,0.0679233749397099
