dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
bank,7,4,covariate_shift,r2_realistic,knn_mean_k5,1.0,0.0,5.788081769144558,2.177337337755049,8.44,1.9681966678953402,6.505311269328859,5.97751407113241,,9.639980271458626e-07,0.0,0.0
bank,7,4,covariate_shift,r2_realistic,learned_alpha,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,learned_router,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,learned_router_no_geometry,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,learned_router_no_shift,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,nn_positive_train,0.72,0.0,6.287077693781298,2.359709506033613,8.24,2.035444786341318,287.0043944117325,286.476597213536,,9.360071271657943e-07,0.0,0.0
bank,7,4,covariate_shift,r2_realistic,projection_only,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,rule_router,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,safe_router,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,utility_router,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,utility_router_no_shift,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,exemplar_mismatch,r1_all_mutable,fixed_blend,0.7903225806451613,0.0,6.395352227302315,2.1611306349432655,9.935483870967742,1.9350317277163602,216.85980053484687,4.765806793682173,0.24193548387096775,0.00013695322465331804,0.25,0.0
bank,7,4,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,0.7419354838709677,0.0,6.68979902650209,2.2501206866841064,10.370967741935484,1.9158356115861606,265.560238884369,53.466245143204354,0.24193548387096775,1.5267738020948826e-05,0.25,0.0
bank,7,4,exemplar_mismatch,r1_all_mutable,knn_mean_k5,1.0,0.0,9.680613477729128,2.6989487727261383,20.548387096774192,1.8058577133164886,10.978911489565311,-201.11508225159938,,9.758101265516973e-07,0.0,0.0
bank,7,4,exemplar_mismatch,r1_all_mutable,learned_alpha,0.5483870967741935,0.0,1.042053171065999,0.4760631172933626,6.387096774193548,2.4158799758272984,453.33669323195625,241.24269949079155,0.3225806451612903,0.00021940161616751744,0.9015201940708226,0.3548387096774194
bank,7,4,exemplar_mismatch,r1_all_mutable,learned_router,0.7741935483870968,0.0,3.925139872927546,1.38081001524357,6.387096774193548,2.20667744845584,230.38194794180882,18.28795420064413,0.45161290322580644,7.91580607784131e-05,0.5645161290322581,0.41935483870967744
bank,7,4,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,0.6290322580645161,0.0,3.523889233358994,1.2662077769740478,5.790322580645161,2.2446325575796777,375.1178421815121,163.02384844034736,0.3225806451612903,9.36822616495192e-05,0.6129032258064516,0.4838709677419355
bank,7,4,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,0.7903225806451613,0.0,4.522437074780414,1.5543675042496385,7.080645161290323,2.0855727387642604,214.86672459849828,2.772730857333586,0.4032258064516129,7.35451579995213e-05,0.5403225806451613,0.3870967741935484
bank,7,4,exemplar_mismatch,r1_all_mutable,nn_positive_train,1.0,0.0,8.822750786090179,2.990648900002466,9.919354838709678,1.877182889928885,9.600295961514995,-202.4936977796497,,1.0451617380303721e-06,0.0,0.0
bank,7,4,exemplar_mismatch,r1_all_mutable,projection_only,0.5161290322580645,0.0,0.3905089026869306,0.3905089026869306,1.0,2.4889530855264956,484.68481960745135,272.5908258662867,0.5,8.254833970098726e-06,1.0,1.0
bank,7,4,exemplar_mismatch,r1_all_mutable,rule_router,0.5161290322580645,0.0,0.3905089026869306,0.3905089026869306,1.0,2.4889530855264956,484.68481960745135,272.5908258662867,0.5,8.254833970098726e-06,1.0,1.0
bank,7,4,exemplar_mismatch,r1_all_mutable,safe_router,0.7741935483870968,0.20967741935483872,3.3404017051121535,1.206433993335991,5.428571428571429,2.1893529170841513,229.2119134284384,17.117919687273723,0.45161290322580644,0.001726182258402508,0.5645161290322581,0.41935483870967744
bank,7,4,exemplar_mismatch,r1_all_mutable,utility_router,0.7903225806451613,0.0,3.686539939691799,1.3415882858315655,5.887096774193548,2.1606751802062982,213.98241541027113,1.888421669106438,0.45161290322580644,6.645966899551211e-05,0.6129032258064516,0.4838709677419355
bank,7,4,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,0.6935483870967742,0.0,4.554782362646039,1.5651818994083742,7.032258064516129,2.063802931667586,311.66757860884775,99.5735848676831,0.3870967741935484,0.00010350967509551875,0.5282258064516129,0.3709677419354839
bank,7,4,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,0.7903225806451613,0.0,3.591374740828597,1.3090418787109592,5.774193548387097,2.1801030587831938,213.88451923190414,1.790525490739448,0.46774193548387094,6.533708919080035e-05,0.625,0.5
bank,7,4,exemplar_mismatch,r2_realistic,fixed_blend,1.0,0.0,0.6299774013404241,0.6299774013404241,1.0,2.4891743548816976,1.0533535545726789,0.0,0.6290322580645161,7.956448356590925e-06,1.0,1.0
bank,7,4,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.6299774013404241,0.6299774013404241,1.0,2.4891743548816976,1.0533535545726789,0.0,0.6290322580645161,4.359673062760022e-06,1.0,1.0
