dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,exemplar_mismatch,r2_realistic,projection_only,2,0.3449074074074074,0.5910867275167428,220.01962001180834,0.03472222222222221
adult,7,3,exemplar_mismatch,r2_realistic,rule_router,2,0.3449074074074074,0.5910867275167428,220.01962001180834,0.03472222222222221
adult,7,3,exemplar_mismatch,r2_realistic,safe_router,2,0.07175925925925924,2.3489587164671826,124.87675303124124,0.02777777777777779
adult,7,3,exemplar_mismatch,r2_realistic,utility_router,2,0.125,0.6245825964717957,0.11047907680166436,0.09722222222222221
adult,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,2,0.125,0.6245825964717957,0.11047907680166436,0.13425925925925924
adult,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,2,0.125,0.6245825964717957,0.11047907680166436,0.09722222222222221
adult,7,3,in_domain,r1_all_mutable,fixed_blend,2,0.4375,1.909695197508685,1.8549757996110583,0.02314814814814814
adult,7,3,in_domain,r1_all_mutable,fixed_blend_no_repair,2,0.5,2.05946992208147,64.5124296715034,0.02314814814814814
adult,7,3,in_domain,r1_all_mutable,knn_mean_k5,2,0.0,2.453208515679181,434.9812225148771,
adult,7,3,in_domain,r1_all_mutable,learned_alpha,2,0.35185185185185186,1.5575274619955184,84.15171292072594,0.08101851851851849
